sample,adc,filtered,lead_off
271,4440,-990.289,0
272,4442,-1015.101,0
273,4470,-1036.868,0
274,4535,-1052.905,0
275,4570,-1060.756,0
276,4597,-1058.210,0
277,4593,-1043.937,0
278,4557,-1018.406,0
279,4542,-984.441,0
280,4526,-946.864,0
281,4531,-911.196,0
282,4541,-882.048,0
283,4519,-862.007,0
284,4529,-851.437,0
285,4558,-848.811,0
286,4599,-850.955,0
287,4661,-853.277,0
288,4703,-850.465,0
289,4716,-837.823,0
290,4713,-812.930,0
291,4733,-776.727,0
292,4765,-733.097,0
293,4789,-687.059,0
294,4738,-643.001,0
295,4673,-604.288,0
296,4598,-573.987,0
297,4567,-555.289,0
298,4552,-550.766,0
299,4519,-561.098,0
300,4493,-584.524,0
301,4495,-617.339,0
302,4505,-654.668,0
303,4544,-691.000,0
304,4595,-720.639,0
305,4672,-738.254,0
306,4748,-739.507,0
307,4768,-721.818,0
308,4765,-685.365,0
309,4734,-633.921,0
310,4679,-574.678,0
311,4580,-516.956,0
312,4505,-470.448,0
313,4522,-443.195,0
314,4608,-439.078,0
315,4724,-455.558,0
316,4864,-483.318,0
317,4988,-508.484,0
318,5010,-516.677,0
319,4978,-497.727,0
320,4919,-449.456,0
321,4839,-378.687,0
322,4726,-299.160,0
323,4675,-227.603,0
324,4652,-179.189,0
325,4641,-163.382,0
326,4693,-181.480,0
327,4798,-226.362,0
328,4948,-283.929,0
329,5083,-335.900,0
330,5192,-363.967,0
331,5253,-354.575,0
332,5178,-303.004,0
333,5061,-215.609,0
334,4945,-109.178,0
335,4897,-6.515,0
336,4982,70.957,0
337,5095,110.814,0
338,5132,113.692,0
339,5120,91.252,0
340,5135,59.550,0
341,5173,32.578,0
342,5185,19.160,0
343,5194,22.714,0
344,5229,42.230,0
345,5271,73.843,0
346,5316,112.718,0
347,5313,154.449,0
348,5269,195.332,0
349,5220,231.762,0
350,5210,259.919,0
351,5220,276.643,0
352,5269,281.024,0
353,5309,275.410,0
354,5365,265.005,0
355,5426,256.315,0
356,5465,255.325,0
357,5471,266.025,0
358,5419,289.291,0
359,5389,322.323,0
360,5397,359.282,0
361,5332,393.225,0
362,5251,417.917,0
363,5249,428.520,0
364,5326,422.411,0
365,5476,401.104,0
366,5569,371.776,0
367,5583,345.981,0
368,5580,335.246,0
369,5547,346.195,0
370,5524,378.171,0
371,5536,424.146,0
372,5559,473.969,0
373,5579,518.161,0
374,5601,550.597,0
375,5578,569.298,0
376,5541,575.573,0
377,5513,572.296,0
