sample,adc,filtered,lead_off
270,5174,-967.314,0
271,5138,-1016.355,0
272,5085,-1059.446,0
273,5006,-1097.548,0
274,4933,-1131.865,0
275,4870,-1164.246,0
276,4835,-1197.062,0
277,4801,-1232.412,0
278,4749,-1271.260,0
279,4694,-1313.209,0
280,4641,-1356.905,0
281,4613,-1400.552,0
282,4602,-1442.123,0
283,4613,-1479.354,0
284,4622,-1509.852,0
285,4631,-1531.513,0
286,4629,-1543.102,0
287,4612,-1544.692,0
288,4587,-1537.747,0
289,4587,-1524.769,0
290,4609,-1508.480,0
291,4626,-1490.831,0
292,4627,-1472.559,0
293,4614,-1453.693,0
294,4586,-1434.516,0
295,4550,-1416.184,0
296,4537,-1400.570,0
297,4517,-1389.420,0
298,4500,-1383.454,0
299,4492,-1382.080,0
300,4496,-1383.764,0
301,4512,-1386.555,0
302,4529,-1388.461,0
303,4555,-1387.612,0
304,4546,-1382.372,0
305,4517,-1371.672,0
306,4496,-1355.574,0
307,4486,-1335.543,0
308,4485,-1314.004,0
309,4499,-1293.467,0
310,4507,-1275.728,0
311,4506,-1261.474,0
312,4502,-1250.351,0
313,4501,-1241.303,0
314,4493,-1232.906,0
315,4488,-1223.701,0
316,4477,-1212.622,0
317,4454,-1199.437,0
318,4439,-1185.036,0
319,4437,-1171.247,0
320,4432,-1160.045,0
321,4424,-1152.587,0
322,4424,-1148.687,0
323,4427,-1146.896,0
324,4445,-1144.981,0
325,4461,-1140.563,0
326,4472,-1131.767,0
327,4476,-1117.748,0
328,4465,-1098.949,0
329,4449,-1076.977,0
330,4433,-1054.118,0
331,4415,-1032.690,0
332,4410,-1014.457,0
333,4419,-1000.284,0
334,4429,-990.030,0
335,4430,-982.695,0
336,4422,-976.874,0
337,4402,-971.317,0
338,4376,-965.336,0
339,4363,-958.886,0
340,4365,-952.296,0
341,4392,-945.770,0
342,4432,-938.886,0
343,4463,-930.424,0
344,4471,-918.717,0
345,4468,-902.446,0
346,4457,-881.382,0
347,4453,-856.549,0
348,4463,-829.770,0
349,4493,-802.867,0
350,4529,-776.944,0
351,4560,-752.084,0
352,4567,-727.624,0
353,4549,-702.876,0
354,4535,-677.845,0
355,4519,-653.432,0
356,4516,-630.988,0
357,4533,-611.597,0
358,4560,-595.510,0
359,4587,-581.965,0
360,4606,-569.471,0
361,4615,-556.385,0
362,4623,-541.438,0
363,4630,-523.947,0
364,4620,-503.755,0
365,4608,-481.242,0
366,4595,-457.496,0
367,4583,-434.395,0
368,4579,-414.304,0
369,4588,-399.392,0
370,4595,-390.742,0
371,4603,-387.735,0
372,4608,-388.098,0
373,4601,-388.650,0
374,4597,-386.461,0
375,4597,-379.902,0
376,4602,-369.057,0
377,4628,-355.333,0
378,4679,-340.420,0
379,4713,-325.076,0
380,4713,-308.577,0
381,4685,-289.451,0
382,4658,-267.001,0
383,4629,-242.386,0
384,4617,-218.549,0
385,4604,-199.159,0
386,4595,-187.269,0
387,4578,-184.316,0
388,4562,-189.817,0
389,4567,-201.619,0
390,4595,-216.387,0
391,4629,-230.067,0
392,4647,-238.542,0
393,4667,-238.623,0
394,4685,-228.956,0
395,4688,-210.273,0
396,4688,-184.933,0
397,4693,-156.111,0
398,4694,-126.926,0
399,4700,-99.775,0
400,4698,-76.109,0
401,4698,-56.609,0
402,4685,-41.527,0
403,4659,-30.970,0
404,4638,-25.057,0
405,4636,-23.798,0
406,4651,-26.649,0
407,4681,-32.037,0
408,4709,-37.318,0
409,4728,-39.395,0
410,4741,-35.734,0
411,4751,-25.216,0
412,4743,-8.385,0
413,4725,12.856,0
414,4703,35.754,0
415,4695,57.284,0
416,4695,74.811,0
417,4696,86.679,0
418,4700,92.497,0
419,4691,93.002,0
420,4681,89.649,0
421,4680,84.159,0
422,4698,78.304,0
423,4712,73.937,0
424,4717,72.896,0
425,4711,76.489,0
426,4700,84.815,0
427,4694,96.484,0
428,4692,109.094,0
429,4696,120.222,0
430,4700,128.397,0
431,4699,133.524,0
432,4700,136.613,0
433,4712,139.094,0
434,4744,142.267,0
435,4777,147.208,0
436,4777,154.875,0
437,4754,165.875,0
438,4729,179.877,0
439,4712,195.309,0
440,4718,209.823,0
441,4729,221.296,0
442,4765,228.735,0
443,4788,232.683,0
444,4787,234.928,0
445,4778,237.613,0
446,4783,242.271,0
447,4807,249.510,0
448,4847,259.490,0
449,4880,272.533,0
450,4885,289.191,0
451,4894,309.607,0
452,4909,332.901,0
453,4915,357.273,0
454,4921,380.738,0
455,4946,401.865,0
456,4970,420.253,0
457,4976,436.568,0
458,4960,451.926,0
459,4936,466.836,0
460,4901,480.448,0
461,4860,490.618,0
462,4804,494.637,0
463,4760,490.115,0
464,4741,475.740,0
465,4749,451.903,0
466,4762,421.023,0
467,4773,387.232,0
468,4771,355.314,0
469,4719,329.258,0
470,4640,310.828,0
471,4556,298.696,0
472,4487,288.704,0
473,4436,275.377,0
474,4405,253.941,0
475,4385,221.932,0
476,4379,179.860,0
477,4387,130.977,0
478,4410,80.505,0
479,4458,34.692,0
480,4486,-0.184,0
481,4460,-19.113,0
482,4414,-20.111,0
483,4378,-5.582,0
484,4367,18.010,0
485,4365,42.418,0
486,4353,60.530,0
487,4349,68.348,0
488,4357,65.503,0
489,4378,54.694,0
490,4405,40.598,0
491,4435,28.515,0
492,4453,23.000,0
493,4454,26.738,0
494,4439,39.917,0
495,4398,60.220,0
496,4351,83.389,0
497,4316,104.236,0
498,4313,117.993,0
499,4333,121.768,0
500,4360,115.557,0
501,4387,102.256,0
502,4401,86.630,0
503,4408,73.743,0
504,4438,67.587,0
505,4490,70.534,0
506,4582,83.728,0
507,4708,107.969,0
508,4847,144.469,0
509,4983,195.015,0
510,5074,261.314,0
511,5164,343.819,0
512,5270,440.856,0
513,5424,548.979,0
514,5664,664.669,0
515,6031,786.765,0
516,6494,918.761,0
517,7007,1069.867,0
518,7483,1253.688,0
519,7820,1484.081,0
520,7913,1768.831,0
521,7709,2102.728,0
522,7197,2462.279,0
523,6435,2804.455,0
524,5534,3071.051,0
525,4733,3198.991,0
526,4126,3135.360,0
527,3762,2853.509,0
528,3628,2364.493,0
529,3662,1718.921,0
530,3788,997.953,0
531,3962,296.093,0
532,4128,-298.977,0
533,4263,-723.788,0
534,4361,-949.519,0
535,4417,-983.676,0
536,4438,-863.736,0
537,4422,-645.406,0
538,4374,-389.125,0
539,4320,-148.155,0
540,4288,39.564,0
541,4285,155.079,0
542,4280,197.762,0
543,4288,181.056,0
544,4298,126.107,0
545,4308,55.365,0
546,4309,-12.241,0
547,4315,-63.910,0
548,4319,-93.487,0
549,4324,-100.479,0
550,4325,-88.416,0
551,4330,-63.202,0
552,4321,-31.684,0
553,4314,-0.495,0
554,4313,24.940,0
555,4321,41.296,0
556,4342,48.014,0
557,4365,47.361,0
558,4384,43.658,0
559,4405,41.782,0
560,4417,45.533,0
561,4408,56.497,0
562,4403,73.700,0
563,4414,94.221,0
564,4432,114.620,0
565,4457,132.531,0
566,4482,147.514,0
567,4486,160.793,0
568,4468,174.078,0
569,4429,188.103,0
570,4398,201.729,0
571,4403,212.281,0
572,4418,217.107,0
573,4459,215.387,0
574,4499,209.044,0
575,4538,202.261,0
576,4571,199.962,0
577,4582,206.018,0
578,4574,221.908,0
579,4545,246.186,0
580,4526,274.892,0
581,4505,302.794,0
582,4521,325.059,0
583,4533,338.749,0
584,4552,343.557,0
585,4584,341.536,0
586,4614,336.200,0
587,4642,331.544,0
588,4680,331.215,0
589,4703,337.933,0
590,4689,353.054,0
591,4672,376.031,0
592,4654,404.084,0
593,4659,432.711,0
594,4668,457.099,0
595,4677,473.754,0
596,4695,481.527,0
597,4713,481.741,0
598,4736,477.597,0
599,4774,473.196,0
600,4812,472.517,0
601,4837,478.590,0
602,4841,492.804,0
603,4828,514.433,0
604,4819,540.658,0
605,4841,567.412,0
606,4897,590.980,0
607,4971,609.752,0
608,4986,624.978,0
609,4956,639.655,0
610,4936,656.107,0
611,4937,674.233,0
612,4961,691.853,0
613,4991,706.525,0
614,5008,717.173,0
615,5024,724.491,0
616,5041,730.239,0
617,5068,736.290,0
618,5095,744.063,0
619,5122,754.417,0
620,5138,767.720,0
621,5156,783.878,0
622,5173,802.347,0
623,5190,822.236,0
624,5215,842.514,0
625,5224,862.221,0
626,5239,880.575,0
627,5240,896.946,0
628,5244,910.813,0
629,5272,921.840,0
630,5317,930.206,0
631,5360,937.029,0
632,5385,944.356,0
633,5393,954.387,0
634,5419,968.418,0
635,5434,986.313,0
636,5447,1006.790,0
637,5456,1028.026,0
638,5461,1048.174,0
639,5467,1065.683,0
640,5473,1079.475,0
641,5468,1088.994,0
642,5450,1094.081,0
643,5417,1094.671,0
644,5389,1090.486,0
645,5366,1081.021,0
646,5356,1065.916,0
647,5340,1045.443,0
648,5324,1020.681,0
649,5313,993.250,0
650,5304,964.879,0
651,5301,937.117,0
652,5264,911.165,0
653,5175,887.484,0
654,5078,865.015,0
655,5002,840.728,0
656,4948,810.380,0
657,4889,770.269,0
658,4823,718.700,0
659,4761,656.322,0
660,4702,585.560,0
661,4634,509.790,0
662,4572,432.550,0
663,4536,356.923,0
664,4497,285.314,0
665,4474,219.499,0
666,4479,160.737,0
667,4488,109.983,0
668,4471,68.106,0
669,4412,35.596,0
670,4350,11.717,0
671,4303,-6.076,0
672,4279,-21.645,0
673,4276,-38.734,0
674,4267,-59.551,0
675,4255,-84.235,0
676,4228,-111.340,0
677,4207,-138.840,0
678,4193,-164.923,0
679,4192,-188.233,0
680,4192,-207.722,0
681,4202,-222.525,0
682,4215,-232.045,0
683,4220,-236.128,0
684,4229,-235.192,0
685,4238,-230.170,0
686,4233,-222.223,0
687,4229,-212.462,0
688,4233,-201.831,0
689,4251,-191.034,0
690,4267,-180.417,0
691,4281,-169.948,0
692,4291,-159.403,0
693,4299,-148.613,0
694,4304,-137.547,0
695,4299,-126.261,0
696,4299,-114.851,0
697,4277,-103.549,0
698,4262,-92.926,0
699,4273,-84.013,0
700,4296,-77.908,0
701,4324,-74.987,0
702,4356,-74.319,0
703,4385,-73.705,0
704,4397,-70.303,0
705,4393,-61.645,0
706,4382,-46.715,0
707,4383,-26.531,0
708,4395,-3.827,0
709,4407,18.059,0
710,4413,36.406,0
711,4397,49.797,0
712,4383,58.046,0
713,4377,61.734,0
714,4378,61.835,0
715,4389,59.574,0
716,4399,56.328,0
717,4414,53.444,0
718,4436,52.064,0
719,4453,53.081,0
720,4451,57.169,0
721,4429,64.604,0
722,4401,74.834,0
723,4390,86.224,0
724,4393,96.402,0
725,4404,103.160,0
726,4421,105.343,0
727,4428,103.263,0
728,4427,98.476,0
729,4424,93.117,0
730,4437,89.190,0
731,4470,88.224,0
732,4511,91.359,0
733,4523,99.467,0
734,4517,112.834,0
735,4502,130.545,0
736,4484,150.247,0
737,4472,168.714,0
738,4481,182.959,0
739,4506,191.343,0
740,4529,194.209,0
741,4548,193.652,0
742,4572,192.559,0
743,4578,193.535,0
744,4562,198.129,0
745,4543,206.431,0
746,4528,217.096,0
747,4514,227.886,0
748,4504,236.450,0
749,4520,240.995,0
750,4545,240.786,0
751,4560,236.467,0
752,4565,229.899,0
753,4561,223.481,0
754,4549,219.283,0
755,4542,218.432,0
756,4543,220.912,0
757,4560,225.819,0
758,4582,231.914,0
759,4606,238.201,0
760,4615,244.274,0
761,4596,250.232,0
762,4575,256.217,0
763,4572,261.967,0
764,4585,266.888,0
765,4613,270.589,0
766,4654,273.376,0
767,4677,276.336,0
768,4680,280.898,0
769,4666,288.052,0
770,4629,297.679,0
771,4595,308.328,0
772,4582,317.578,0
773,4588,322.927,0
774,4607,322.821,0
775,4645,317.323,0
776,4683,308.212,0
777,4692,298.538,0
778,4680,291.644,0
779,4671,289.955,0
780,4662,294.183,0
781,4669,303.358,0
782,4682,315.439,0
783,4698,328.094,0
784,4713,339.328,0
785,4715,347.853,0
786,4717,353.224,0
787,4726,355.823,0
788,4732,356.777,0
789,4741,357.710,0
790,4747,360.194,0
791,4734,365.061,0
792,4718,371.845,0
793,4705,378.705,0
794,4693,383.084,0
795,4686,382.830,0
796,4691,377.168,0
797,4703,367.080,0
798,4735,355.019,0
799,4772,344.177,0
800,4803,337.631,0
801,4826,337.578,0
802,4842,344.845,0
803,4845,358.839,0
804,4841,377.871,0
805,4837,399.598,0
806,4856,421.490,0
807,4895,441.394,0
808,4928,458.123,0
809,4945,471.687,0
810,4947,482.899,0
811,4943,492.689,0
812,4941,501.634,0
813,4932,509.907,0
814,4933,517.407,0
815,4944,523.851,0
816,4969,528.905,0
817,5017,532.462,0
818,5061,535.067,0
819,5086,538.159,0
820,5095,543.747,0
821,5093,553.575,0
822,5080,568.241,0
823,5090,586.764,0
824,5117,606.860,0
825,5134,625.842,0
826,5142,641.535,0
827,5130,652.660,0
828,5105,658.726,0
829,5079,659.729,0
830,5061,655.947,0
831,5053,647.894,0
832,5045,636.317,0
833,5038,622.055,0
834,5025,605.797,0
835,4999,587.908,0
836,4953,568.401,0
837,4911,547.001,0
838,4881,523.316,0
839,4865,497.195,0
840,4849,469.029,0
841,4828,439.684,0
842,4811,410.066,0
843,4794,380.723,0
844,4768,351.851,0
845,4745,323.570,0
846,4734,296.211,0
847,4740,270.503,0
848,4753,247.614,0
849,4765,228.905,0
850,4770,215.424,0
851,4760,207.358,0
852,4731,203.751,0
853,4694,202.601,0
854,4679,201.353,0
855,4678,197.745,0
856,4688,190.681,0
857,4713,180.598,0
858,4749,169.214,0
859,4772,158.925,0
860,4782,152.112,0
861,4777,150.453,0
862,4766,154.460,0
863,4757,163.380,0
864,4755,175.471,0
865,4759,188.484,0
866,4760,200.153,0
867,4770,208.591,0
868,4783,212.631,0
869,4797,212.196,0
870,4813,208.517,0
871,4816,203.927,0
872,4813,201.123,0
873,4816,202.123,0
874,4846,207.535,0
875,4907,216.709,0
876,4992,228.771,0
877,5086,243.887,0
878,5200,263.982,0
879,5288,292.525,0
880,5364,333.383,0
881,5468,389.202,0
882,5621,460.413,0
883,5823,545.717,0
884,6113,643.805,0
885,6508,755.524,0
886,6957,885.713,0
887,7394,1043.574,0
888,7760,1240.426,0
889,7972,1484.905,0
890,7944,1776.953,0
891,7642,2102.431,0
892,7090,2430.285,0
893,6360,2714.100,0
894,5585,2898.939,0
895,4943,2932.832,0
896,4503,2780.604,0
897,4281,2435.986,0
898,4242,1927.339,0
899,4308,1314.142,0
900,4428,674.898,0
901,4556,90.240,0
902,4676,-373.588,0
903,4773,-676.421,0
904,4828,-808.756,0
905,4837,-789.433,0
906,4826,-658.206,0
907,4817,-465.399,0
908,4819,-260.859,0
909,4811,-84.534,0
910,4795,39.249,0
911,4769,102.832,0
912,4750,112.276,0
913,4741,82.189,0
914,4742,30.224,0
915,4757,-27.366,0
916,4767,-78.443,0
917,4783,-115.930,0
918,4799,-137.334,0
919,4807,-143.445,0
920,4809,-136.906,0
921,4800,-121.228,0
922,4797,-100.336,0
923,4804,-78.287,0
924,4821,-58.797,0
925,4838,-44.522,0
926,4865,-36.410,0
927,4874,-33.471,0
928,4880,-33.175,0
929,4884,-32.428,0
930,4884,-28.720,0
931,4901,-20.938,0
932,4927,-9.515,0
933,4950,4.114,0
934,4958,18.318,0
935,4951,31.826,0
936,4939,43.835,0
937,4937,53.902,0
938,4920,61.823,0
939,4922,67.479,0
940,4934,70.687,0
941,4951,71.296,0
942,4969,69.505,0
943,4988,66.137,0
944,4999,62.681,0
945,5010,61.046,0
946,5020,63.035,0
947,5035,69.769,0
948,5064,81.321,0
949,5095,96.777,0
950,5095,114.629,0
951,5073,133.060,0
952,5031,149.946,0
953,5000,162.880,0
954,4977,169.583,0
955,4973,168.601,0
956,4997,159.889,0
957,5033,145.067,0
958,5053,127.201,0
959,5106,110.153,0
960,5132,97.807,0
961,5135,93.417,0
962,5142,98.872,0
963,5145,114.072,0
964,5148,136.884,0
965,5171,163.691,0
966,5203,190.402,0
967,5239,213.685,0
968,5270,231.949,0
969,5277,245.615,0
970,5270,256.511,0
971,5269,266.726,0
972,5283,277.621,0
973,5298,289.500,0
974,5306,301.799,0
975,5295,313.365,0
976,5301,322.711,0
977,5319,328.516,0
978,5349,330.437,0
979,5369,329.718,0
980,5388,328.919,0
981,5415,330.865,0
982,5439,337.501,0
983,5460,349.305,0
984,5482,365.349,0
985,5493,383.851,0
986,5493,402.885,0
987,5500,420.882,0
988,5517,436.846,0
989,5552,450.463,0
990,5605,462.168,0
991,5660,473.143,0
992,5703,485.130,0
993,5738,499.975,0
994,5757,519.052,0
995,5764,542.800,0
996,5766,570.484,0
997,5759,600.191,0
998,5768,629.093,0
999,5790,654.055,0
1000,5817,672.554,0
1001,5838,683.535,0
1002,5854,687.744,0
1003,5858,687.384,0
1004,5861,685.302,0
1005,5874,684.071,0
1006,5902,685.369,0
1007,5935,689.864,0
1008,5956,697.429,0
1009,5965,707.360,0
1010,5953,718.477,0
1011,5928,729.189,0
1012,5903,737.637,0
1013,5878,741.977,0
1014,5866,740.725,0
1015,5886,733.114,0
1016,5902,719.439,0
1017,5895,701.166,0
1018,5870,680.444,0
1019,5809,659.132,0
1020,5730,637.873,0
1021,5639,615.608,0
1022,5556,589.701,0
1023,5499,556.726,0
1024,5460,513.715,0
1025,5413,459.377,0
1026,5377,394.693,0
1027,5325,322.681,0
1028,5248,247.559,0
1029,5171,173.506,0
1030,5113,103.489,0
1031,5064,38.769,0
1032,5019,-20.870,0
1033,4985,-76.567,0
1034,4967,-129.752,0
1035,4948,-181.394,0
1036,4912,-231.416,0
1037,4868,-278.723,0
1038,4819,-321.899,0
1039,4786,-360.059,0
1040,4782,-393.287,0
1041,4782,-422.393,0
1042,4797,-448.273,0
1043,4806,-471.332,0
1044,4801,-491.247,0
1045,4787,-507.154,0
1046,4770,-518.184,0
1047,4766,-524.000,0
1048,4777,-525.024,0
1049,4792,-522.294,0
1050,4801,-517.133,0
1051,4798,-510.910,0
1052,4783,-504.919,0
1053,4765,-500.267,0
1054,4756,-497.690,0
1055,4752,-497.325,0
1056,4760,-498.638,0
1057,4776,-500.619,0
1058,4791,-502.160,0
1059,4805,-502.392,0
1060,4804,-500.863,0
1061,4800,-497.522,0
1062,4812,-492.538,0
1063,4822,-485.984,0
1064,4816,-477.666,0
1065,4811,-467.445,0
1066,4808,-455.852,0
1067,4809,-444.320,0
1068,4816,-434.734,0
1069,4801,-428.615,0
1070,4782,-426.536,0
1071,4770,-428.107,0
1072,4771,-432.274,0
1073,4802,-437.587,0
1074,4848,-442.303,0
1075,4880,-444.440,0
1076,4909,-442.089,0
1077,4919,-433.933,0
1078,4907,-419.700,0
1079,4880,-400.379,0
1080,4865,-378.195,0
1081,4876,-356.159,0
1082,4913,-337.119,0
1083,4943,-322.724,0
1084,4964,-312.941,0
1085,4973,-306.397,0
1086,4970,-301.175,0
1087,4981,-295.488,0
1088,4991,-287.980,0
1089,4994,-277.778,0
1090,5009,-264.638,0
1091,5038,-249.112,0
1092,5057,-232.374,0
1093,5058,-215.788,0
1094,5045,-200.595,0
1095,5029,-187.800,0
1096,5023,-178.076,0
1097,5029,-171.583,0
